#player1 Quackle Quackle
#player2 New_Player_1 New Player 1
>Quackle: ADEEEST -E +0 0
>New_Player_1: AEGKNNY 8D KYANG +36 36
>Quackle: ADEEOST G7 E.DOSTEA +64 64
>New_Player_1: EEHHLLN 11E EN.HELL +40 76
>Quackle: JMNPRUW E4 JUMP. +38 102
>New_Player_1: BEHOSUX H11 .OXES +62 138
>Quackle: GINORTW 15H .TROWING +98 200
>New_Player_1: BEHNOUW F13 WHO +36 174
>Quackle: AEOORSV L12 AVO. +20 220
>New_Player_1: BEEINTU 4B BUN.IE +30 204
>Quackle: BDEORSS 3G DESORBS +89 309
>New_Player_1: EFIMPRT I10 F.ME +32 236
>Quackle: AEIIORU 9A EUOI +12 321
>New_Player_1: CINPRTU 15A PUNCT. +39 275
>Quackle: AEIILRT M1 LI.TERIA +60 381
>New_Player_1: AADDIRT 8L D.DA +24 299
>Quackle: ?ACFGQT 1L F.AG +36 417
>New_Player_1: AAIRRTV A6 AIV.R +24 323
>Quackle: ?CEEIQT C3 Q.ITE +32 449
>New_Player_1: AILRTYZ 2J ZA +44 367
>Quackle: ??CEINR 1D CINERea +91 540
>Quackle:  (AILORTY) +20 560
