#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: AEGILUU -IUU +0 0
>Quackle: ?EFGIRT 8D FRIGaTE +78 78
>New_Player_1: AAEEGIL E5 LAI.AGE +32 32
>Quackle: ACIIORS K8 SICARIO +79 157
>New_Player_1: ?DEGILO 15E GOLDIEs +83 115
>Quackle: EILMNOS H1 SEMOLIN. +80 237
>New_Player_1: AHORTUW 3E WAR.OUTH +68 183
>Quackle: DEMSVWY 14J Y.WED +53 290
>New_Player_1: ADEFNOZ 14D FAZE +72 255
>Quackle: MRRSUVY M3 SMURRY +58 348
>New_Player_1: ADENOOT 13B ODONATE +93 348
>Quackle: ABINTVV 2B VIVAT +35 383
>New_Player_1: CDEIJUU L1 JE.U +52 400
>Quackle: BNNPPTX 6D P.X +28 411
>New_Player_1: ACDINNU 1K D.INN +39 439
>Quackle: BENNPTT B10 BET.N +26 437
>New_Player_1: ACEEORU A6 OCREAE +30 469
>Quackle: AHIKNPT 13J P.ANI +34 471
>New_Player_1: BELOQSU J5 EQU.S +36 505
>Quackle: HKT C1 K.TH +22 493
>Quackle:  (BLO) +10 503
