#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: IOOORUY -IOOOU +0 0
>Quackle: EIIKNRS 8D KEIRINS +82 82
>New_Player_1: AAELRTY 9D YA +16 16
>Quackle: EEIUWYZ J3 WEIZE. +38 120
>New_Player_1: AEELORT 5E AEROL.TE +82 98
>Quackle: EIPTUVY 4F PUY +27 147
>New_Player_1: AEIOOQT K3 OT.O +22 120
>Quackle: EFFINTV H7 V.FF +13 160
>New_Player_1: ADEHIOQ 6B QAID +37 157
>Quackle: AEEINNT D8 ..ANITE +28 188
>New_Player_1: BEGHOOO 3J ..OHOO +24 181
>Quackle: DENOUUW O1 UN.WED +42 230
>New_Player_1: ABEEGLR N5 BEAGLER +73 254
>Quackle: AEIJORU 8L JU.A +60 290
>New_Player_1: ?ANRRTX O11 eXTRA +58 312
>Quackle: EIILOPR B6 .I +11 301
>New_Player_1: ABLNNRT A7 BRANT +25 337
>Quackle: EIILOPR 14J PORIE. +28 329
>New_Player_1: ACELNSS 12A SAN.CLES +71 408
>Quackle: ?CDGIIL 15H GLID +25 354
>New_Player_1: DEGMNST 15A MEDS +40 448
>Quackle: ?CHIOUV 3C HaVOC +43 397
>New_Player_1: GMNT C5 M.G +16 464
>Quackle: IU C11 U.I +12 409
>Quackle:  (NT) +4 413
