#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: AEIISUY -AIIUY +0 0
>Quackle: ADGIILO 8G ALGOID +20 20
>New_Player_1: ?ABEOOS 9A cABOOSE +65 65
>Quackle: AAEEITU L6 AU.ITEE +16 36
>New_Player_1: ?AEEINN A7 dE.ENNIA +71 136
>Quackle: AADINQW 10J QA. +32 68
>New_Player_1: IINRRUV 11I VIR. +29 165
>Quackle: ADINRTW M11 DAW +25 93
>New_Player_1: CEINRSU D8 C.INSURE +78 243
>Quackle: EHINRTX 10A .X +50 143
>New_Player_1: AEMMTTU 7G MAUT +26 269
>Quackle: BEHINRT 14J BRITH +40 183
>New_Player_1: EEFFMTU 15F TUFFE +37 306
>Quackle: ACEGNNW M3 GNAWN +28 211
>New_Player_1: DEEMPRT B8 M.. +16 322
>Quackle: CEGLLOS 15A LOG. +36 247
>New_Player_1: DEEIPRT H1 TRIPED.. +42 364
>Quackle: CEHLNOS O8 NOCHELS +100 347
>New_Player_1: AEEKOOP 4C PEEKA.OO +82 446
>Quackle: DEIJLOY 3B JOEY +43 390
>New_Player_1: IRRTVYZ 5E ZIT. +64 510
>Quackle: DILS K1 LIDS +22 412
>Quackle:  (RRVY) +20 432
