#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: FGINRVW -FVW +0 0
>Quackle: CGGLORY 8G COGGLY +34 34
>New_Player_1: EGINRSU G6 SE.URING +65 65
>Quackle: EHIMMRW 11E WH.MMIER +122 156
>New_Player_1: ADIPRTU 10I UPDART +36 101
>Quackle: AAEOOSU H11 .OUSE +30 186
>New_Player_1: DEILSVY 12K VEILY +43 144
>Quackle: ?AAILOS O4 LAOgAIS +81 267
>New_Player_1: ADDEIOS 13K ADDIO +40 184
>Quackle: AFFINOV O12 ..OF +30 297
>New_Player_1: ABEEEIS 12D BEA.. +24 208
>Quackle: AFINQUV F2 QUINA +40 337
>New_Player_1: AEEEISW N3 EEEW +32 240
>Quackle: AFHJOTV 4K JAV.. +30 367
>New_Player_1: ABEINST 4B BAIN.TES +72 312
>Quackle: DEFHOOT 5J FOH +41 408
>New_Player_1: INPRTTX 13C TIX +37 349
>Quackle: DEELOTZ 14B TOZED +68 476
>New_Player_1: CNNOPRT H1 COP.N +27 376
>Quackle: AEEIKLT B4 .AKELITE +76 552
>Quackle:  (?NNRRRT) +12 564
