#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: AAEEIIO -AAEIIO +0 0
>Quackle: ADEEIOY 8H AIYEE +18 18
>New_Player_1: EEIORST 9D EROTISE +69 69
>Quackle: ADIMNOO E2 MAINDOO. +72 90
>New_Player_1: LNOPRUZ 10J ZOL +67 136
>Quackle: ABDEOTW 5B DOW.BEAT +64 154
>New_Player_1: CDENPRU 3C PR.UNCED +84 220
>Quackle: EEFIOVW 7I WOF +44 198
>New_Player_1: AFIKUVY H1 YA.K. +57 277
>Quackle: AEEGINV 9L EVE +17 215
>New_Player_1: ??FITUV O7 FUrTIVe +101 378
>Quackle: AGHINPU D8 H.APING +43 258
>New_Player_1: ABCEGNR F8 B.NGRACE +76 454
>Quackle: AAEORSU D2 A.O. +22 280
>New_Player_1: HIILNQR C12 QI +37 491
>Quackle: AEIRSSU 6E .IES +30 310
>New_Player_1: GHILMNR 15E H.LMING +39 530
>Quackle: AERSTUX G12 EX +52 362
>New_Player_1: AIORSTU 11D .A.RI +26 556
>Quackle: AERRSTU I1 UR. +10 372
>New_Player_1: LLOSTTU 14I LOUT +13 569
>Quackle: AEJNRST 13K JET +33 405
>New_Player_1: DLST L7 S...D +16 585
>Quackle: ANRS 5B ........S +15 420
>New_Player_1: LT H11 .T +7 592
>Quackle: ANR 14A RAN. +22 442
>Quackle:  (L) +2 444
