#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: AEIORTT -O +0 0
>Quackle: ADEEINN 8C ADENINE +70 70
>New_Player_1: AEEIRTT 9B ITERATE +74 74
>Quackle: ?CEFHHN 10D FEH +41 111
>New_Player_1: EEIORSW 7G WOE +27 101
>Quackle: ?CDHMNO E5 HOM...D +52 163
>New_Player_1: BEEIRRS J1 BERRIES +70 171
>Quackle: ?ACDNUW 2D UNClAW.D +69 232
>New_Player_1: EEIQSTX D1 Q.ITE +53 224
>Quackle: ?IILMPT A9 LIMePIT +88 320
>New_Player_1: CEGRSUX H1 E.UX +57 281
>Quackle: ABJLNOU 5I B.JOU +28 348
>New_Player_1: CGNORSS N1 CROGS +31 312
>Quackle: AALNOYY 4L YO.A +30 378
>New_Player_1: AINOSTU 15A .ITANOUS +77 389
>Quackle: AEGLNTY 3M Y. +22 400
>New_Player_1: AFGILPZ 14D FIZ +73 462
>Quackle: AEGLNRT 13E TANGLER +75 475
>New_Player_1: AAGILOP 1L PA.O +33 495
>Quackle: ADEKOVV J9 EVOK.D +26 501
>New_Player_1: AGILLNR 6H GL.AN +32 527
>Quackle: ASV L11 VAS +21 522
>Quackle:  (ILR) +6 528
