#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: EMNNNRV -MNNV +0 0
>Quackle: AEIINOO -AIIOO +0 0
>New_Player_1: ENRRSTU 8D TURNERS +66 66
>Quackle: EENNPST H4 PENT.NES +63 63
>New_Player_1: AFMQTUZ F5 QUA.TZ +46 112
>Quackle: AAADLMR 4H .ADMA +20 83
>New_Player_1: ACDFMSX 5H .XAMS +54 166
>Quackle: AKLNRTU 10B KLUT. +28 111
>New_Player_1: ?CDDEEF 6H .ED +27 193
>Quackle: AEGHNOR L1 ANG..HORE +65 176
>New_Player_1: ?ACDEFH 1G HArDF.CE +98 291
>Quackle: GINRRSY O1 SNIG +72 248
>New_Player_1: AAEIIPV 2F VIAE +23 314
>Quackle: CEORRTY B7 ROC.ETRY +84 332
>New_Player_1: ADILPRW A4 PILAW +56 370
>Quackle: AEGIIOO 11H .OOGIE +14 346
>New_Player_1: DEFIRTW 12J WIFED +44 414
>Quackle: ABIJOUV N3 OUIJA +33 379
>New_Player_1: EIIOORT F5 ......ITE +27 441
>Quackle: BELLOVY C2 VOLLEY +42 421
>New_Player_1: ?BIIOOR O6 ORIBIs +32 473
>Quackle: BN M10 B..N +12 433
>Quackle:  (O) +2 435
