#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: AADIIIT -AIII +0 0
>Quackle: GNNOTXZ 8G NOX +20 20
>New_Player_1: ADDEITW 9F WADI +26 26
>Quackle: AGLNNTZ I6 TA..NG +15 35
>New_Player_1: ADEEITY J10 YITE +31 57
>Quackle: LNOSUUZ 14F ZULUS +46 81
>New_Player_1: AADEEMN 6D EMANA.ED +65 122
>Quackle: BCNNOSY 5J BONNY +30 111
>New_Player_1: ?AIJLOR H12 JO.L +57 179
>Quackle: CEEIPRS D4 CR.EPIES +80 191
>New_Player_1: ?AILRTV C9 TRIViAL +77 256
>Quackle: DEEIOTT K10 EDIT +30 221
>New_Player_1: AEEFIOV 15A FO.IE +27 283
>Quackle: AAEKORT N1 AKAR.OTE +84 305
>New_Player_1: AEEFIMV O8 FIVE +45 328
>Quackle: ABEGORU 4K BOU.G +32 337
>New_Player_1: AEHMPQR H1 PHARM. +42 370
>Quackle: AEEORSU 5B EU.O +16 353
>New_Player_1: ?CEINQW O1 WIN. +47 417
>Quackle: AEGLRST 3M G.. +16 369
>New_Player_1: ?CDEHOQ 11B Q.. +12 429
>Quackle: AEILRST M8 TAILERS +72 441
>New_Player_1: ?CDEHOR B1 COsH.RED +80 509
>New_Player_1:  (S) +2 511
