#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: BNRSTTX -BNTX +0 0
>Quackle: ADDGIKS 8D GADDI +20 20
>New_Player_1: EMPRSTT E6 TR.MPETS +74 74
>Quackle: AKLOOSU 7C KA.OO +30 50
>New_Player_1: ABCEHIO 13C BA.OCHE +44 118
>Quackle: EILSUUY J8 ULYIES +32 82
>New_Player_1: EEGIJNT 14B JEE +26 144
>Quackle: AEHLOUU A12 LUAU +26 108
>New_Player_1: GIIMNOT H13 .IM +24 168
>Quackle: DEHILOO K8 HOOD +34 142
>New_Player_1: AAGINOT 9D O.A +13 181
>Quackle: EEGIILR 10E .LIE +15 157
>New_Player_1: AGIINTT 15H .ITIGANT +89 270
>Quackle: EEGIRXY 6G GREX +33 190
>New_Player_1: EFINNRV H1 FINNE. +30 300
>Quackle: ADEEIUY 5J ADIEU +21 211
>New_Player_1: ?INORTV 3G I.VeNTOR +90 390
>Quackle: AEESWYZ O1 WEY +41 252
>New_Player_1: ?FLNRST 12I F.ST +28 418
>Quackle: AEORRSZ M9 ZOEAS +76 328
>New_Player_1: ?CELNRV 9J ..L. +13 431
>Quackle: ANPQRRW M1 PR.N.R +8 336
>New_Player_1: ?BCENRV 1D BRiE. +12 443
>Quackle: AQW O13 QA. +12 348
>New_Player_1: CNV 9C C... +14 457
>Quackle: W 10M .W +9 357
>Quackle:  (NV) +10 367
