#player1 Quackle Quackle
#player2 New_Player_1 New Player 1
>Quackle: AMNNNQR -NNQ +0 0
>New_Player_1: ?ILORTU 8B OUTLIeR +64 64
>Quackle: AMNRRTU 9A RUM +17 17
>New_Player_1: AFLNOUW 7G WOFUL +29 93
>Quackle: AAAENRT 6F AA +9 26
>New_Player_1: AAHNNNV F1 VAHAN. +14 107
>Quackle: ADEHNRT J7 .NTHREAD +74 100
>New_Player_1: AEEENNY 1D YE.EN +45 152
>Quackle: AIOSSTU 11D SAUTOI.S +82 182
>New_Player_1: AEGMNPR H10 M.PANE +39 191
>Quackle: DDJLNTT F10 J.D +27 209
>New_Player_1: DGGIQRR 14F QI. +32 223
>Quackle: DELLNTT 13G L.N.TED +23 232
>New_Player_1: CDGGIRR 12L RIGG +23 246
>Quackle: ?ACLSTW 4E C.TWALkS +82 314
>New_Player_1: CDEOORS O7 SCROO.ED +86 332
>Quackle: EGIIOPR N1 PIEROGI +80 394
>New_Player_1: AEEEFNY 14J .EFEN. +34 366
>Quackle: BBIOTVZ N10 ZI. +66 460
>New_Player_1: AEEEIXY 1L YI.E +39 405
>Quackle: BBIKOTV M7 KOB +29 489
>New_Player_1: AEEOX G11 .E..A +13 418
>Quackle: BITV 15E VI.. +18 507
>New_Player_1: EOX 5H EXO +26 444
>New_Player_1:  (BT) +8 452
