#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: AAEIIRU -AAIIU +0 0
>Quackle: ACMNNOZ 8D CONMAN +26 26
>New_Player_1: EEHNORS E5 HON.REES +94 94
>Quackle: ACEFMRZ 12A ZARF. +54 80
>New_Player_1: ?AAEIRT A8 ATRA.InE +194 288
>Quackle: CEEIMOU D4 COMI.E +37 117
>New_Player_1: ABDNOVY F4 BOY +38 326
>Quackle: AEIJOUU B6 JIAO +31 148
>New_Player_1: ADDNPRV H4 VAND. +13 339
>Quackle: EGRSTUU 5H .UGUSTER +68 216
>New_Player_1: DDNPRTX N4 D.X +27 366
>Quackle: EEFSWWY O1 FEWE. +40 256
>New_Player_1: DDENPRT B11 D.TED +24 390
>Quackle: EHOSTWY L1 WHEY. +36 292
>New_Player_1: BEILNPR 3I BLE.P +24 414
>Quackle: AEOOSTU M3 .O.AE +25 317
>New_Player_1: GIIILNR I7 I. +7 421
>Quackle: INOSTTU 6J UT +11 328
>New_Player_1: AGIILNR L7 RAILING +70 491
>Quackle: AINOSTT 11G NOTIT.AS +66 394
>New_Player_1: GIIKLPU 10H PIKU. +45 536
>Quackle: ?ELOQRV 13I VLO. +12 406
>New_Player_1: GILS M13 SIG +26 562
>Quackle: ?EQR 1L .aQ. +18 424
>New_Player_1: L J10 ..L. +8 570
>New_Player_1:  (ER) +4 574
