#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: DEGNPST -GP +0 0
>Quackle: ADEIIQR 8G QI +22 22
>New_Player_1: DEGINST H8 .NDIGEST +86 86
>Quackle: ADEEIRR 14A DREARIE. +72 94
>New_Player_1: EFNNPTW 13G W.FT +27 113
>Quackle: AAEMOUZ A12 ZE.A +72 166
>New_Player_1: ENNOPXY I6 PONY +35 148
>Quackle: AGMNOPU 12A .UPA +30 196
>New_Player_1: AAEKNUX 15C AXE +39 187
>Quackle: GMNOOTV 11D MOOV.NG +30 226
>New_Player_1: ADGKNRU 10B DRANK +47 234
>Quackle: BHLOTTY 6I .HYTOL +24 250
>New_Player_1: CDEGMOU 5J COUDE +40 274
>Quackle: ABESTTU 4I BATTUES +97 347
>New_Player_1: GIILMRU 14J ILIUM +22 296
>Quackle: AEEEIRV 3G VIAE +26 373
>New_Player_1: ?GHLRSW L12 WH.G +26 322
>Quackle: AAEELOR M12 EA. +21 394
>New_Player_1: ?FILRRS 2I FLIR +29 351
>Quackle: ABEJLOR O1 JOB. +39 433
>New_Player_1: ??INRST O6 SNIT +27 378
>Quackle: AEELNOR B3 RELOANE. +61 494
>New_Player_1: ??EIORS E4 pEcORI..S +80 458
>New_Player_1:  (C) +6 464
