#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: DEEEINO -EEO +0 0
>Quackle: ?IITTTU 8D TUTTI +12 12
>New_Player_1: ?DEINNT E5 INT.rNED +82 82
>Quackle: ?AEIINN 12C IN.AmINE +68 80
>New_Player_1: BEIOPUW 11I UPBOW +30 112
>Quackle: EFLLORY M9 FO.LER +40 120
>New_Player_1: EIIILUW 13I IWI +21 133
>Quackle: LMOPRRY C9 MOP.LY +38 158
>New_Player_1: AEGILRU 14A GU. +14 147
>Quackle: AEEERRS G3 ARRES.EE +62 220
>New_Player_1: ADEILLR N4 RALLIED +71 218
>Quackle: EOORSVZ O7 OOZE +66 286
>New_Player_1: AADEEHN A9 HEADA.E +42 260
>Quackle: DFRSSSV F11 F.RDS +16 302
>New_Player_1: AAEJNOQ 7C QA. +34 294
>Quackle: IIOSSVV D2 VIVO +22 324
>New_Player_1: AAEHJNO H1 JANE +41 335
>Quackle: AIMNSST I2 SANTIMS +80 404
>New_Player_1: ACHKORX B9 OX +43 378
>Quackle: BEGOTUY 15D GU.TO +24 428
>New_Player_1: ACCGHKR 4K CHA.K +38 416
>Quackle: BEY 12L B.EY +34 462
>Quackle:  (CGR) +12 474
