#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: EGMSTTW -GTW +0 0
>Quackle: AEEHLOR 8H EARHOLE +72 72
>New_Player_1: DEEHMST N2 SMEETH.D +80 80
>Quackle: BGIJOTY O1 JOY +48 120
>New_Player_1: CELMOPV M7 C.OMP +37 117
>Quackle: ?BGGIIT K5 BIG.TInG +106 226
>New_Player_1: EGLNRVY 9G VLY +28 145
>Quackle: ?EEINOZ O9 EbONIZE +102 328
>New_Player_1: AEEGNRR 14M RE. +24 169
>Quackle: ADRTUUX J10 XU +51 379
>New_Player_1: AEEGINR 15G REGINAE +79 248
>Quackle: ACDNRTU 7I DU. +18 397
>New_Player_1: AANQRST 14F QANAT +35 283
>Quackle: AACINRT 13G CAR +33 430
>New_Player_1: AENNRSU 13M UN. +14 297
>Quackle: AADIINT 3K ATI.. +20 450
>New_Player_1: AENRSTW 12A WANTERS +84 381
>Quackle: ABDINRS E5 BRANDIS. +94 544
>New_Player_1: EFIOOTW C8 TWOO.IE +36 417
>Quackle: DFILPSV 6J F.D +29 573
>New_Player_1: AEFIKOU A12 .AKF +42 459
>Quackle: ILLOPSV 8A PO.I. +24 597
>New_Player_1: EIOU F2 EUOI +9 468
>New_Player_1:  (LLSV) +14 482
