#player1 Quackle Quackle
#player2 New_Player_1 New Player 1
>Quackle: AIISTUU -IUU +0 0
>New_Player_1: BEILOTU 8D BITOU +20 20
>Quackle: AILRSTY F3 STRAI.LY +71 71
>New_Player_1: AEFJLRV 6F .FLAJ +31 51
>Quackle: NNPRRUX 3F .PURN +15 86
>New_Player_1: CDELRSV H1 ER.V +33 84
>Quackle: AEINORX 7H EXO +47 133
>New_Player_1: CDEELSW 8J WEDELS +49 133
>Quackle: AIINORT 7L IO +11 144
>New_Player_1: CCHOORT O8 .CROOTCH +98 231
>Quackle: AEINRTW 10H INTERWA. +64 208
>New_Player_1: AEGMMNO H10 .MMANE +39 270
>Quackle: AGGIIKS G13 KI +34 242
>New_Player_1: ?EFGIOO I10 .IEF +41 311
>Quackle: AAGGIIS M10 .IGGA +20 262
>New_Player_1: ?AGNOOY D8 .OONGArY +84 395
>Quackle: ABEEIST 5D BA.E +17 279
>New_Player_1: DEHNORZ C9 ZHO +73 468
>Quackle: DEILSTU 1C DILUT.ES +60 339
>New_Player_1: DEENNRS 15A DEN. +24 492
>Quackle: ?DEIQUV F14 QI +43 382
>New_Player_1: AAENPRS B9 APERS +36 528
>Quackle: ?DETUV 4A DEVo +24 406
>New_Player_1: AN 10A A...N. +14 542
>New_Player_1:  (TU) +4 546
