#player1 Quackle Quackle
#player2 New_Player_1 New Player 1
>Quackle: ADEEQRR -EQR +0 0
>New_Player_1: GMNRWWX -GMNRWW +0 0
>Quackle: ACDELRS 8C SCALDER +76 76
>New_Player_1: AADENRX F8 .AX +26 26
>Quackle: EGHMNNY E5 MYN.H +31 107
>New_Player_1: ADELNOR C8 .OLANDER +72 98
>Quackle: ABEGMNO 6A MONE.BAG +73 180
>New_Player_1: AEILQTT 12A QI. +22 120
>Quackle: AEGNPTU A12 .UEP +45 225
>New_Player_1: AEKLTTY A4 TA.ELY +36 156
>Quackle: AEGINST 15C .EASTING +80 305
>New_Player_1: ?BKORTT B11 B.RK +42 198
>Quackle: ?EFSSTW I3 FEWS +35 340
>New_Player_1: ?EOTTUZ 5I .UZ +30 228
>Quackle: ?CINSTT J8 SCaTTIN. +72 412
>New_Player_1: ?EIOTTV 13G TOT.tIVE +78 306
>Quackle: FGILNOU 11H OU.FLING +74 486
>New_Player_1: AEIOORV O7 VORA.O +33 339
>Quackle: AEEHIRU H1 HUIA +32 518
>New_Player_1: DDEIJOO 9M JO. +26 365
>Quackle: EEEIPRR G8 .EI +21 539
>New_Player_1: DDEIIOW 1H .OWDIE +14 379
>Quackle: AEEPRR 6K APER +18 557
>New_Player_1: DI N1 DI +21 400
>New_Player_1:  (ER) +4 404
