#player1 Quackle Quackle
#player2 New_Player_1 New Player 1
>Quackle: DEIIIRT -II +0 0
>New_Player_1: CEOTUXY 8G COXY +32 32
>Quackle: DEEINRT H8 .RIENTED +80 80
>New_Player_1: ELMTUUW 13C UMWEL. +26 58
>Quackle: ACDDINV 11E VID.NDA +48 128
>New_Player_1: AGIOTUY 12J AGOUTY +34 92
>Quackle: ACGIILR O7 CAGIL. +36 164
>New_Player_1: ?EIJLOP J6 JO. +29 121
>Quackle: IIORSUV 15A VIRUSOI. +89 253
>New_Player_1: ?EIILPW 9M WI. +15 136
>Quackle: AAEFMNP 12A FAME +38 291
>New_Player_1: ?EEILPS L4 ElLIPSE +80 216
>Quackle: AAGHHNP 13J HANG +35 326
>New_Player_1: DNOORRS 10J OR. +20 236
>Quackle: ABHKPRZ N8 Z.P +35 361
>New_Player_1: DNOORSU A7 UNROO. +27 263
>Quackle: ABEHKRT 10F KA. +36 397
>New_Player_1: ADEEEIS 14B DIE +26 289
>Quackle: ABBEHRT K1 BATHE +27 424
>New_Player_1: AEEEFOS 1H FEE. +27 316
>Quackle: ?BNQRTT 2I TR.NQ +20 444
>New_Player_1: AAEEORS N2 SOARE +42 358
>Quackle: ?BILSTT B2 sTILBS +22 466
>New_Player_1: AEN A1 NAE +12 370
>New_Player_1:  (T) +2 372
