#player1 Quackle Quackle
#player2 New_Player_1 New Player 1
>Quackle: AEEEILU -AEEIU +0 0
>New_Player_1: AEEIOQT 8G QI +22 22
>Quackle: CEIILNP I6 PENICIL +75 75
>New_Player_1: AEELOST 13C OLEATES +86 108
>Quackle: ?HOOTWY 14B HOOTY +45 120
>New_Player_1: EILLMNT 11E MILL.NE +36 144
>Quackle: ??ABDOW L9 BArWoOD +85 205
>New_Player_1: AFNOPTT 15A TOFT +39 183
>Quackle: EGMNRVW 13K V.W +16 221
>New_Player_1: AINPSTU K4 SUPINAT. +76 259
>Quackle: EGGMNRU 15G MUGGE. +33 254
>New_Player_1: ACIJRRT M8 RAJ +29 288
>Quackle: AEEENRU G7 E.UA. +16 270
>New_Player_1: ACFIRST L1 FACT +30 318
>Quackle: EEENNOR 1J EN.REE +27 297
>New_Player_1: AIIRRSX 2H RAX +35 353
>Quackle: BNNOORR 12B ORB +29 326
>New_Player_1: DEEIIRS 6I .I. +9 362
>Quackle: GHNNORY 1E GYNO +30 356
>New_Player_1: DEEIKRS 10F K. +32 394
>Quackle: HINORUZ 2A HOURI +19 375
>New_Player_1: DEEIRSS 3C RESIDES +95 489
>Quackle: AADEINZ A7 ZENAIDA +116 491
>Quackle:  (DV) +12 503
