#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: DGLMNRV -GLMNV +0 0
>Quackle: ENORSTT 8C STENTOR +66 66
>New_Player_1: DENRUUU G7 U.U +5 5
>Quackle: EEGLOTZ C3 GLOZE. +36 102
>New_Player_1: DEELNRU E5 UNR.ELED +86 91
>Quackle: ABDENOT D11 BONED +30 132
>New_Player_1: EHOSSVW 15D .HOWS +36 127
>Quackle: AEFNORT C13 OF +19 151
>New_Player_1: ADEGSVW 7I ADVEW +24 151
>Quackle: AAEFNRT 8L FETA +47 198
>New_Player_1: GIIISTY 6A SI.I.G +21 172
>Quackle: ?AAIKNR A4 KI.AN +42 240
>New_Player_1: ADEIMTY 9I MEATY +52 224
>Quackle: ?AENNRU 14H ANEURiN +66 306
>New_Player_1: CDIIJRV L12 JI.D +28 252
>Quackle: AEEIORX 10J XI +52 358
>New_Player_1: CGHIRTV 13G CHIT +29 281
>Quackle: ACEEORS F10 OE +13 371
>New_Player_1: AGILORV 11H VIOL +30 311
>Quackle: AACERRS K5 RA. +12 383
>New_Player_1: AABGPRY 4K GRAPY +38 349
>Quackle: ?ACEPRS O1 PAC. +33 416
>New_Player_1: ABEMOQT M3 Q.T +24 373
>Quackle: ?EIILRS O7 R.ILlIES +65 481
>Quackle:  (ABEMO) +18 499
