#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: DEGNQTW -GQW +0 0
>Quackle: BCORUYY 8H CORBY +32 32
>New_Player_1: ?DEINTT L1 IDENTiT. +74 74
>Quackle: AAEIOUY 5I YAU.IA +18 50
>New_Player_1: ADGLOVV 1K V.VDA +36 110
>Quackle: EHKNNOT 3I KOH.N +44 94
>New_Player_1: AEEGLOT 4D GOATEE +26 136
>Quackle: EINRRTU 5D UR +11 105
>New_Player_1: ALOOORT 7I LOO. +14 150
>Quackle: EEIINRT 6B NITERIE +67 172
>New_Player_1: ACEIORT B1 ACTIO.ER +70 220
>Quackle: AAEIJNO A8 AJI +36 208
>New_Player_1: DEFNQSS B10 FENDS +35 255
>Quackle: AAEHLNO C11 HOA +25 233
>New_Player_1: GIMQSUZ O5 SQUIZ +79 334
>Quackle: AEGLLNN 1A L.NG +21 254
>New_Player_1: EGIMOPP D12 MEG +26 360
>Quackle: AEFLNRT 7B .F +26 280
>New_Player_1: EIMOPPR 9M PO. +20 380
>Quackle: AELNRTX 10L LAX +39 319
>New_Player_1: ADEIMPR 15C DAMPIER +97 477
>Quackle: EEELNRT 14B .E. +13 332
>New_Player_1: ?BISSUW E10 WUSS +25 502
>Quackle: EELNRTW 9I WEE +28 360
>New_Player_1: ?BI 2L .IeB +26 528
>New_Player_1:  (LNRT) +8 536
