#player1 Quackle Quackle
#player2 New_Player_1 New Player 1
>Quackle: ELNNRRT -LNR +0 0
>New_Player_1: ?AIIKNS 8D KAINItS +80 80
>Quackle: BCENRTW D4 WREC. +28 28
>New_Player_1: EILLRSY J8 .LY +14 94
>Quackle: BDNNTVW 6C N.WB +15 43
>New_Player_1: EIILRRS 4C S.IRLIER +62 156
>Quackle: DINORTV H1 VID.OT +30 73
>New_Player_1: EEEEFST 9A FEESE +27 183
>Quackle: ABGINRU G7 U.BARING +67 140
>New_Player_1: AAEGNPT 12D PAG.NATE +74 257
>Quackle: DEHJMRX 13I XED +57 197
>New_Player_1: EIILPQU B9 .QUIPE +54 311
>Quackle: EHJMORU F10 JU. +54 251
>New_Player_1: ACFILNO 11E F..OL +38 349
>Quackle: DEEHMOR L6 REHOMED +110 361
>New_Player_1: ACEHINT 2E ETH.CIAN +65 414
>Quackle: AEOORTZ 1A TOAZE +74 435
>New_Player_1: AILNOOY M7 LAYIN +46 460
>Quackle: ADMORTU A12 MOTU +40 475
>New_Player_1: AGOOOTV 3K GAVOT +23 483
>Quackle: ?ADRS 1K DARbS +27 502
>Quackle:  (OO) +4 506
