#player1 Quackle Quackle
#player2 New_Player_1 New Player 1
>Quackle: AEILORS -O +0 0
>New_Player_1: BEINNRU 8D BURNIE +22 22
>Quackle: AEILRST D8 .LASTIER +72 72
>New_Player_1: ACLNOOW E10 WOON +27 49
>Quackle: ?ELMNRR 9I MERL +16 88
>New_Player_1: AACELLS M9 SACELLA +81 130
>Quackle: ?AENORS 15A sER.ANOS +113 201
>New_Player_1: ABHIOPT K5 BOTH.IA +48 178
>Quackle: AADDEOQ L12 DEAD +31 232
>New_Player_1: INOOPUW B10 WOOPI. +30 208
>Quackle: AIOQVYZ J6 ZA +64 296
>New_Player_1: FNNSUUV N13 FUN +28 236
>Quackle: HIJOQVY L2 JIVY +41 337
>New_Player_1: EKNNSUV 2L .UNK +30 266
>Quackle: ?DHOQTU A8 QUOTH +79 416
>New_Player_1: EEIINSV F4 VINE.IES +76 342
>Quackle: ?AADFTX 10J X. +50 466
>New_Player_1: EIRRTTY 13B .R..TERY +46 388
>Quackle: ?AADFGT 12G DAFT +23 489
>New_Player_1: CEGGIIT 15L ...G +18 406
>Quackle: ?ADEGOP 3G PAGOD.tE +96 585
>New_Player_1: CEEGIIT 4D CI.IE +29 435
>Quackle: M 7I M.. +18 603
>Quackle:  (EGT) +8 611
