#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: AAEEETU -AAEEU +0 0
>Quackle: CCOPRTV 8F VROT +14 14
>New_Player_1: BDEOTYY G8 .EBODY +21 21
>Quackle: AACCDNP 13C DANC. +22 36
>New_Player_1: BHKLQTY D10 BYT.LK +40 61
>Quackle: ACNNPRX 11C P.CN.N +26 62
>New_Player_1: AHIIQUW 15A HAW. +42 103
>Quackle: AIJRSTX I11 SIX +40 102
>New_Player_1: EFIIQUU E9 FI.I. +16 119
>Quackle: AEGJRTW 7H JAW +26 128
>New_Player_1: AEELQUU 13I .U +9 128
>Quackle: AEGNRRT 9G .R +12 140
>New_Player_1: AEELQSU K1 QUELEAS +96 224
>Quackle: AEEGNRT 3H REN.GATE +72 212
>New_Player_1: ?ITTUUV H1 VI.TU +27 251
>Quackle: EEFHILR O1 LI.FER +39 251
>New_Player_1: ?AANOTU N5 AUTOmAN +63 314
>Quackle: ?DEHOOO O8 OOHED +47 298
>New_Player_1: AAEIMOO 12G .A.MIO +27 341
>Quackle: ?EIINOP 4B sINOPI.E +70 368
>New_Player_1: ADEILOR 14A ODA. +28 369
>Quackle: EEEGMTZ 5C TEME +28 396
>New_Player_1: EGILRSS 3A RIG +17 386
>Quackle: EGRZ 2F GR.Z +28 424
>New_Player_1: ELSS M10 LESS +27 413
>New_Player_1:  (E) +2 415
