#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: CEINOTU -U +0 0
>Quackle: DGORSUX 8F DOUX +24 24
>New_Player_1: CEEINOT 7H OE +15 15
>Quackle: AGIRSUY 6I YUGA +23 47
>New_Player_1: ABCEINT 5K AB +18 33
>Quackle: GIJRRSW G7 J.W +43 90
>New_Player_1: CEFINPT K4 F.. +7 40
>Quackle: GIRRSSW M6 SWIG +29 119
>New_Player_1: CEEINPT 8L P.CE +33 73
>Quackle: GINRRST O7 R.STRING +60 179
>New_Player_1: ?AEINOT 15I NOTAIrE +101 174
>Quackle: ADEEEOQ 4I DE.O +26 205
>New_Player_1: ADEEHHI 14J HIED +28 202
>Quackle: AAEEINQ M12 QA.. +28 233
>New_Player_1: AEEFHIN 3G FAE +21 223
>Quackle: AEEEINN 4C AINEE +15 248
>New_Player_1: AEHINRY 5E YAH +39 262
>Quackle: EMNOPST 10D TOPSMEN +83 331
>New_Player_1: EIKLMNR 2H KREMLIN +88 350
>Quackle: AACILOU 1E AULOI +41 372
>New_Player_1: ?BOORTU D8 OU.ThROB +76 426
>Quackle: ACDEIIL 15A DIE. +21 393
>New_Player_1: ELRTTVV C3 V.RVEL +30 456
>Quackle: ACILNRZ 14C R.NZ +25 418
>New_Player_1: STT O2 ST +16 472
>Quackle: ACIL 11I LAIC +16 434
>Quackle:  (T) +2 436
