#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: AAADEIO -AAAIO +0 0
>Quackle: ?AMNORU 8D MAiNOUR +72 72
>New_Player_1: ADEEEEI D8 .EDIAE +18 18
>Quackle: DGNNQSU 11A GUQ.N +30 102
>New_Player_1: ?EEEEKL B9 EK.ELE +30 48
>Quackle: DDFINRS A6 FIND +27 129
>New_Player_1: ?ABEINT H8 .BTAINEr +80 128
>Quackle: CDEMRSV F7 M.RVS +33 162
>New_Player_1: GLOOSTT G12 GOT +15 143
>Quackle: CDDEEIN B1 INCEDED +83 245
>New_Player_1: ELORSTV K2 REVOLTS +79 222
>Quackle: AEIIOTY I12 OYE +35 280
>New_Player_1: BLNSTWZ 1A S.TZ +69 291
>Quackle: AFHIIPT J5 HAI.IF +33 313
>New_Player_1: BLNRSWY 3I BR.WS +32 323
>Quackle: AOOPTTW 3B .OWPAT +30 343
>New_Player_1: EGILNUY 4K .EILY +42 365
>Quackle: AJOOPTU 2F JATO +42 385
>New_Player_1: CGHILNU 1G HUNG +41 406
>Quackle: AAIOPUX O1 PIX. +48 433
>New_Player_1: ACEILOR 4D EAR +30 436
>Quackle: AAORU G7 A.OA +23 456
>New_Player_1: CILO 10J .OLIC +13 449
>New_Player_1:  (RU) +4 453
