#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: EGIIOOU -GIIOOU +0 0
>Quackle: DEEINSS 8D DESINES +70 70
>New_Player_1: DEELOWX 7E WEXED +57 57
>Quackle: AAHILPR 6D PAH +36 106
>New_Player_1: EGILORU C2 GUIRO +21 78
>Quackle: AILRTTV H1 TRIVAL..T +98 204
>New_Player_1: AEELMNO 3G M.NEOLA +34 112
>Quackle: ?EEGNOR L1 GO.dENER +72 276
>New_Player_1: AEFISUV M5 AUF +31 143
>Quackle: ADDHINR D1 HIND +35 311
>New_Player_1: AEIIQSV 9C QI +34 177
>Quackle: AADILRY 10A ARIDLY +35 346
>New_Player_1: AEEISUV A8 UV.E +21 198
>Quackle: AABEJOW 1L .AJO +36 382
>New_Player_1: ACEISTY 2N AY +33 231
>Quackle: ABEMSWZ 5K W..MB +24 406
>New_Player_1: CEFIKST O5 .ECK +36 267
>Quackle: ?AEOSUZ 9M ZOS +45 451
>New_Player_1: FINRRST J2 F.R +10 277
>Quackle: ?ACELTU 11F ACUTELy +71 522
>New_Player_1: INNPRST H11 .NPIN +24 301
>Quackle: BEEGIOT 12B BOGIE +22 544
>New_Player_1: AIORSTT 13H .ATRIOTS +74 375
>New_Player_1:  (EOT) +6 381
