#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: AEILNRU -U +0 0
>Quackle: ABCEOPW 8D COWPEA +32 32
>New_Player_1: AEILNPR E5 PEL.RIAN +90 90
>Quackle: ABDEGOT D11 BODGE +28 60
>New_Player_1: ?CFIIOT 5E .OnTIFIC +78 168
>Quackle: ABIOQTX 6C IB.X +54 114
>New_Player_1: EFHHRTW H1 WHEF. +54 222
>Quackle: AOQTUUU C9 QUOTA +82 196
>New_Player_1: DEHLMRT M3 THERM +47 269
>Quackle: AADNRUU 7B UDA. +23 219
>New_Player_1: DGIKLMO 3B GODLIK. +46 315
>Quackle: AEENRUV L7 UNREAVE +76 295
>New_Player_1: EMNRSVY 13I VEN.RY +40 355
>Quackle: AEELOST G1 OA.E. +23 318
>New_Player_1: IIMRSSY N2 RIMS +37 392
>Quackle: EJLOSTT 1L JOTS +64 382
>New_Player_1: AIILSSY D1 YI.S +24 416
>Quackle: AEGLTUZ 1A GAZ. +51 433
>New_Player_1: ?AIILNS 15A mIL.SIAN +113 529
>Quackle: AELORTU 14N AT +14 447
>New_Player_1: DEENNT K7 TEEND +29 558
>Quackle: ELORU 15K LOURE +30 477
>Quackle:  (N) +2 479
