#player1 Quackle Quackle
#player2 New_Player_1 New Player 1
>Quackle: GLNNOQR -LNQ +0 0
>New_Player_1: ABOOPTV 8G PAV +16 16
>Quackle: AGGNORR 9F GOR +12 12
>New_Player_1: BFOOSTW 10E WOOF +28 44
>Quackle: AGINORT E10 .O +10 22
>New_Player_1: ABEESTY I6 BE.Y +29 73
>Quackle: AGIINRT 12B RAITING +76 98
>New_Player_1: ABEGLST J2 GABLETS +83 156
>Quackle: ?CEFKMU H12 .UCK +33 131
>New_Player_1: AEEEINU 2H EU.ENIA +16 172
>Quackle: ?ACEFMR 1B ChAMFER +98 229
>New_Player_1: EHINORU 14A UNHEROI. +80 252
>Quackle: ADHIIIN 15A HAIN +49 278
>New_Player_1: EEIOSTV B1 .OVETISE +80 332
>Quackle: ?DDIIXZ 8A Z.X +57 335
>New_Player_1: AAILQTY 4H QI.LA +52 384
>Quackle: ?DDDIIP 3M DID +18 353
>New_Player_1: AMNRTTY 1K MANTY +47 431
>Quackle: ?DEIJPS 4A J.DI +40 393
>New_Player_1: LORSTTU K1 ..R.OT +27 458
>Quackle: ?AEELPS O3 .EPLAnES +83 476
>New_Player_1: EELRSTU 3B .ELURE +28 486
>Quackle: DNOW 5D DOWN +20 496
>Quackle:  (ST) +4 500
