#player1 Quackle Quackle
#player2 New_Player_1 New Player 1
>Quackle: ANNNQRX -NNQX +0 0
>New_Player_1: ADEGITU 8C AUGITE +16 16
>Quackle: AADNRRT H2 NARRAT.D +60 60
>New_Player_1: ACDEETU C6 EC.UDATE +80 96
>Quackle: ?ABELLP 3G P.LpABLE +80 140
>New_Player_1: EELRRTW E5 WER.ELT +44 140
>Quackle: DFHIIOQ B3 FIQH +40 180
>New_Player_1: AEMORYY 4K REAMY +44 184
>Quackle: ?CDINOS A6 SyNODIC +92 272
>New_Player_1: DENOOVY 5K DEVO +40 224
>Quackle: INOOSUV D2 VINO +19 291
>New_Player_1: EILNOUY 7E .OU.INELY +73 297
>Quackle: EINOSTU J7 .OUNIEST +62 353
>New_Player_1: ABHJORS 12I H.JAB +34 331
>Quackle: AGKNOSX A2 GOX +41 394
>New_Player_1: GIMORST N10 MISGO +46 377
>Quackle: AIIKNRS I11 K.I +20 414
>New_Player_1: AEORTWZ O6 TOWZE +55 432
>Quackle: AEFINRS D10 AFIRE +32 446
>New_Player_1: APR H13 PAR +20 452
>New_Player_1:  (NS) +4 456
