#player1 Quackle Quackle
#player2 New_Player_1 New Player 1
>Quackle: AEEOOOR -AEOOO +0 0
>New_Player_1: AEELNRU 8G UNREAL +14 14
>Quackle: BEINRYY 7D INBYE +25 25
>New_Player_1: EETTUUW 8A WEET +27 41
>Quackle: ACDMNRY H1 CANDYM.. +54 79
>New_Player_1: KTTUUVZ 6B KUZU +41 82
>Quackle: ADOQRRS D4 RO... +28 107
>New_Player_1: EFSTTUV 5H .UFT +20 102
>Quackle: ADLQRSS K5 .AL.QS +15 122
>New_Player_1: CEIOSTV L1 VOCES +39 141
>Quackle: DEINRST E5 D.. +14 136
>New_Player_1: ABIIORT 2J BO.AI +26 167
>Quackle: EINORST O2 STONIER +82 218
>New_Player_1: DINOORT N7 TORDION +66 233
>Quackle: GIJMPTV M12 JIMP +43 261
>New_Player_1: DEGHPRX 9B EX +36 269
>Quackle: AEGOSTV O13 GOV +25 286
>New_Player_1: DGHIOPR L13 PHO +28 297
>Quackle: AEEEEST M9 EE +9 295
>New_Player_1: DGHINRR A8 .HIRR +25 322
>Quackle: AEEFIST 10D SAFETIE. +71 366
>New_Player_1: AADEGNW 11E WAD +32 354
>Quackle: ?AAILLT 12E LAs +17 383
>New_Player_1: ?AEGGIN A8 .....ING +45 399
>Quackle: AILT H12 TAIL +19 402
>Quackle:  (AEG?) +8 410
