#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: ?CFJLNN -FJLN +0 0
>Quackle: AEEINRU 8G EAU +6 6
>New_Player_1: ?CDIMNO H1 MaNDIOC. +92 92
>Quackle: EIINNOR 6H .NIONIER +62 68
>New_Player_1: AEEGHRW O2 WAGE.ER +39 131
>Quackle: EEFHILT 7K HEFT. +33 101
>New_Player_1: AHINPUY N1 HAPU +35 166
>Quackle: CEEILST J8 SECTILE +71 172
>New_Player_1: AGIINNY 13H IN.AYING +76 242
>Quackle: ABDILOP 5J APOD +42 214
>New_Player_1: BEJNOSX H12 J.NX +78 320
>Quackle: BEEILRU O10 BRI.UE +30 244
>New_Player_1: ABEMOST 14A BOATSME. +86 406
>Quackle: AEEILLT E7 LEALTIE. +66 310
>New_Player_1: AIOORVZ A12 ZO.O +75 481
>Quackle: ADLOTVY 8A LOAV. +36 346
>New_Player_1: AIKORSV M1 AVO +36 517
>Quackle: ?DDGTTY 9I T.DDY +18 364
>New_Player_1: EIKRRSW B7 W.RK +21 538
>Quackle: ?FGQRST D12 Qa.S +49 413
>New_Player_1: EIRSU 3D RUSI.E +8 546
>New_Player_1:  (FGRT) +16 562
