#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: ALRRRVZ -LRRV +0 0
>Quackle: ELORTTY 8F LOTTERY +78 78
>New_Player_1: ABMORSZ 7G ZA +44 44
>Quackle: AAAFGLR 6E AFAR +30 108
>New_Player_1: BDMNORS 5B BORM +24 68
>Quackle: AAEGLOU 4A GALEA +31 139
>New_Player_1: CDEHNST J6 ST.NCHED +72 140
>Quackle: AGIOTUU L3 OUGUI.A +22 161
>New_Player_1: ?DEEINU M9 DEtINUE +79 219
>Quackle: AGINOST M1 AGONIST +85 246
>New_Player_1: AEEIIOT 11J .OT.IE +16 235
>Quackle: AEHIIRT 1G HETAIR.I +86 332
>New_Player_1: AEIJLNP 15L J.EP +63 298
>Quackle: EEKOPSX 3E KEX +40 372
>New_Player_1: ?AILLNO H6 ...IONALLy +80 378
>Quackle: EIOPRSV 11A OVERSPI. +76 448
>New_Player_1: DEMNQSY C2 ME..DY +40 418
>Quackle: BCFINVW A10 B.WFIN +54 502
>New_Player_1: DNOQRSU C9 QU.RNS +70 488
>Quackle: CEVW 2F WE +31 533
>New_Player_1: DO B13 OD +20 508
>New_Player_1:  (CV) +14 522
