#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: ?CDOQRT -DQ +0 0
>Quackle: BIKLMOT 8D KIMBO +36 36
>New_Player_1: ?CLORST C7 CaRLOTS +95 95
>Quackle: DIILOTY 13C .OLIDITY +68 104
>New_Player_1: ADFFSVW H12 V.FF +51 146
>Quackle: ?DEMOPR E4 PROM.sED +98 202
>New_Player_1: ADHRSSW F10 DAW.SH +28 174
>Quackle: BEGNNUU 9H UNBEGUN +65 267
>New_Player_1: AEOPRSZ D1 ZERO +54 228
>Quackle: ACINORX K5 ANOR.XIC +118 385
>New_Player_1: ADEPSTT 4G SPATTED +94 322
>Quackle: AEEINOR 1C A.IONE +45 430
>New_Player_1: AAIILRU M2 AU.IAL +18 340
>Quackle: EELRTVY 14J EVERY +30 460
>New_Player_1: AAIIIRW N6 WAI. +22 362
>Quackle: AEELQTU O1 QUELEA +54 514
>New_Player_1: AEEIIRS 12F .I.E +15 377
>Quackle: EGHNNOT 13L HONG +30 544
>New_Player_1: AEIJRST 3I JA +52 429
>Quackle: EGNT 2A GEN.T +16 560
>Quackle:  (EIRST) +10 570
