#player1 Quackle Quackle
#player2 New_Player_1 New Player 1
>Quackle: AAEOOTU -AAOOU +0 0
>New_Player_1: ?ACEEEI -EEI +0 0
>Quackle: EEINRTU 8C RETINUE +66 66
>New_Player_1: ?ACEGOU 7A COUrAGE +73 73
>Quackle: AEIILRW A5 WI.E +27 93
>New_Player_1: EEFIMRS G5 FR..EMIES +66 139
>Quackle: ADILNRS 12A ISLAND.R +72 165
>New_Player_1: ADEIIOY H1 OIDIA +26 165
>Quackle: EEGTTVZ 9D VEG.TE +29 194
>New_Player_1: AAEHOSY 13B HOYA +36 201
>Quackle: DFMTUWZ 7I FUTZ +30 224
>New_Player_1: ABEJORS B10 JO..ER +64 265
>Quackle: DEEMRRW 1E DEW.RMER +65 289
>New_Player_1: AABNOPS L4 BON.A +34 299
>Quackle: DLNOPSY 10I SPONDYL +84 373
>New_Player_1: AALLPST 4A TALPA +27 326
>Quackle: AGNOTTU 15A T.UGO +24 397
>New_Player_1: ?ABILSV O8 VI.LA +27 353
>Quackle: ACEKNQT K3 QAT +32 429
>New_Player_1: ?BHIISX 2C IBeX +55 408
>Quackle: CEKNNO H12 .OCK +32 461
>New_Player_1: HIS 1A ISH +23 431
>New_Player_1:  (ENN) +6 437
