#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: EEGORUU -EGOUU +0 0
>Quackle: DIMPSTV 8G VIM +16 16
>New_Player_1: CDEFKPR 9H FECK +24 24
>Quackle: DENPSTT L9 STEPT +28 44
>New_Player_1: DEILOPR K9 .IP +28 52
>Quackle: AADEJNT 13L .AJ +20 64
>New_Player_1: ADELOQR 14M DOL +29 81
>Quackle: ADEINST 15G STAINED +82 146
>New_Player_1: ?ADEEQR 14J Qi +62 143
>Quackle: AEISTTV 14A STATIVE +88 234
>New_Player_1: ADEEFRT A7 DRAFTEE. +89 232
>Quackle: AGORRWY B10 YAR +34 268
>New_Player_1: CEEILNO B1 CINEOLE +75 307
>Quackle: GGORRUW C5 ROW +25 293
>New_Player_1: BDIIMUX 13C MIX +43 350
>Quackle: AEGGRSU D1 GAUGERS +86 379
>New_Player_1: ABDILOU 11A ..BOULI +18 368
>Quackle: ?EEHOUW H2 HOUsEW..E +68 447
>New_Player_1: ADENORY 6G A.RODYNE +66 434
>Quackle: GILNNOR 10H .L +7 454
>New_Player_1: AAHIOUZ G2 AZO +50 484
>Quackle: GINNNOR 3G ..ONING +36 490
>New_Player_1: ABHIU 5J HABU +38 522
>Quackle: NR 11K ..RN +6 496
>Quackle:  (I) +2 498
