#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: ?AIIIOT -IIIO +0 0
>Quackle: ?AGGLNW 8F GNAW +16 16
>New_Player_1: ?AABDTU J2 DATABUs +77 77
>Quackle: ?DGIILT 5E DIGIT.Ls +86 102
>New_Player_1: BHOOPRU 4L OUPH +28 105
>Quackle: EILNNRS 6D LIN +12 114
>New_Player_1: BDEIORS C1 DISROBE +78 183
>Quackle: ENPRSSV 8A PERV +50 164
>New_Player_1: EEIORTY N2 TE.OY +36 219
>Quackle: ADNNSSX 4F SAX +41 205
>New_Player_1: AEGIRRU F8 .ARRIGUE +64 283
>Quackle: DENNOSU 11D EN.OUNDS +86 291
>New_Player_1: AELNOOQ H1 ALE..N +39 322
>Quackle: AEIKOTT O1 KIT.E +42 333
>New_Player_1: HJMOOQZ 12A ZOOM +58 380
>Quackle: AEFLOTY 1A FA.Y +45 378
>New_Player_1: AEHIJQT 14B HAIQ.E +36 416
>Quackle: AEELOOT 13A OO +19 397
>New_Player_1: EEJMNRT 15F .MEER +25 441
>Quackle: ACEEFLT 15C EF +20 417
>New_Player_1: IJNRTVW 3G V.R. +23 464
>Quackle: ACCELST 4A CA.L +18 435
>New_Player_1: IIJNTW 1G J.W +13 477
>Quackle: CEST K11 .ECTS +15 450
>Quackle:  (IINT) +8 458
