#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: AEEENOR -EEO +0 0
>Quackle: AESSTTT 8H ATTESTS +66 66
>New_Player_1: AEENRRR 9H REAR +14 14
>Quackle: ADEILST K5 LAT..ISED +90 156
>New_Player_1: ENORVXY J8 ..XON +57 71
>Quackle: BDIKLTT L12 BILK +43 199
>New_Player_1: AEEIRVY M3 VARIE.Y +36 107
>Quackle: ?ADFMTT 4L D.FT +18 217
>New_Player_1: ?AEEEIP N8 .EAPIEcE +77 184
>Quackle: ?AGMOTY 10B MAgGOTY +76 293
>New_Player_1: DEEHLOR J5 EH +28 212
>Quackle: EHIILNN 15G ENLIN. +30 323
>New_Player_1: DEGLMOR C8 GL.MORED +76 288
>Quackle: AGHIIOU B10 .OHUA +35 358
>New_Player_1: AEIPSUW D10 .AWP +44 332
>Quackle: DGIIJNZ I3 JIZ +39 397
>New_Player_1: AEEISUV 8A VA.UE +30 362
>Quackle: BDGINUW F6 WUD +26 423
>New_Player_1: EIIOQSU O1 QUI.E +42 404
>Quackle: BFGINOO O11 OF +22 445
>New_Player_1: CINOORS 3I .O +9 413
>Quackle: BCGINOR 12A C...ING +19 464
>New_Player_1: CINNORS 1L CIN. +18 431
>Quackle: BOR E4 BRO +15 479
>Quackle:  (NORS) +8 487
