#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: AAEINOO -AAIOO +0 0
>Quackle: ACIORSW 8G COW +16 16
>New_Player_1: AEEILNV J6 VALINE +28 28
>Quackle: AIIORST G1 AORISTI. +62 78
>New_Player_1: AEELMRW F2 WEM +35 63
>Quackle: ?AEEETU H1 EE +18 96
>New_Player_1: AEEILRT E4 ATELIER +69 132
>Quackle: ?AEPTUU D8 TAUPE +23 119
>New_Player_1: ?AADGOT C10 GOAD +22 154
>Quackle: ?DOUUVY B12 YOU +21 140
>New_Player_1: ?ADNOTT K9 DOTANTs +73 227
>Quackle: ?DNQRUV 15K .QUiD +69 209
>New_Player_1: EFIILOS 13J I.FO +14 241
>Quackle: ACNPRSV D2 VAC +32 241
>New_Player_1: EILLRSZ 12K .IZLE +51 292
>Quackle: DINPRRS 15A DRIP +37 278
>New_Player_1: HILRSXY 8A XYS.. +45 337
>Quackle: EKNNRSS O8 KENN.R +30 308
>New_Player_1: EFHILRT 14H LIF. +28 365
>Quackle: ABIMSSU H12 BA.U +27 335
>New_Player_1: EHJNORT B4 ENJO. +31 396
>Quackle: EGIMNSS 11C ..S +26 361
>New_Player_1: AHHORRT A1 HATH +51 447
>Quackle: EGGIMNS L5 GIGMEN +20 381
>New_Player_1: BEORR B2 RE..... +40 487
>Quackle: S B2 .......S +18 399
>Quackle:  (BOR) +10 409
