#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: FGLPRRT -FGLPR +0 0
>Quackle: BDEEOOX 8D BOXED +36 36
>New_Player_1: EEIORTU H3 ETOUR.IE +60 60
>Quackle: ?EKLORV 5D LoOK.VER +106 142
>New_Player_1: ADISVWY D1 WAVI.Y +38 98
>Quackle: ACIINSU K4 U.ANISCI +70 212
>New_Player_1: ADDFLMS L1 FLAMS +51 149
>Quackle: AAELNRS 1L .AAN +21 233
>New_Player_1: DDEEEFT 1D .EFTED +39 188
>Quackle: EELORSU N1 .UREOLES +70 303
>New_Player_1: BDEGJNO J2 JOB.D +49 237
>Quackle: IINNORT O4 NOINT +33 336
>New_Player_1: AEEGNOR 7E GOE. +21 258
>Quackle: ACIIIRT 3A TRI.IA +18 354
>New_Player_1: AAENPRT 10A PARANET. +64 322
>Quackle: CEIINRZ A1 RI.Z +69 423
>New_Player_1: GLMPQSY A7 GYM.S +39 361
>Quackle: ?CDEINT M7 DEoNTIC +81 504
>New_Player_1: AEHLOPQ 11E ALE +14 375
>Quackle: GHUW 12C UGH +20 524
>New_Player_1: HOPQ J11 QOPH +37 412
>New_Player_1:  (W) +8 420
