#player1 Quackle Quackle
#player2 New_Player_1 New Player 1
>Quackle: ?EEEIOO -EEIOO +0 0
>New_Player_1: CFIOTVY 8G TIVY +20 20
>Quackle: ?AADEEH G5 mEA.HEAD +66 66
>New_Player_1: ACEEFOU F10 FAE +32 52
>Quackle: BDEIJRS F2 JIBED +43 109
>New_Player_1: ACEOSUX H1 COXAE +47 99
>Quackle: ?LMNRST H7 L.MN +21 130
>New_Player_1: CDISTUY E5 DICTY +34 133
>Quackle: ?DORSTW 13G STROWeD +87 217
>New_Player_1: EKORSTU 12L TOUK +31 164
>Quackle: EGHNPSW 14J HEW +40 257
>New_Player_1: AAEEERS O11 A.EES +27 191
>Quackle: AFGNPRS 8A GRAF. +39 296
>New_Player_1: AEIMRTV 15H VIM +32 223
>Quackle: ILNOOPS A1 SPOOLIN. +86 382
>New_Player_1: AEEERTT B1 TEE +18 241
>Quackle: GLNOPQZ 12A PLONG.. +28 410
>New_Player_1: AELNORT J1 ORNATEL. +65 306
>Quackle: ABINQRZ C5 NIQ.AB +28 438
>New_Player_1: IINRRUU A12 .URI +18 324
>Quackle: AEGIORZ 1J .OZIER +75 513
>New_Player_1: INRSUU L1 .INS +26 350
>Quackle: AG 3J .A.G +10 523
>Quackle:  (RUU) +6 529
