#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: ?EEEIIL -EEII +0 0
>Quackle: DFILOWX 8F FLIX +28 28
>New_Player_1: ?AEHLNU H8 .NHAULEr +83 83
>Quackle: ADKOSSW G5 DOW.AS +23 51
>New_Player_1: AEEEINS 13G A.IENEES +70 153
>Quackle: ABDEKSW H1 BASKED +60 111
>New_Player_1: DEGMOPU 12K UMPED +40 193
>Quackle: CEIOPQW O7 COWPE. +42 153
>New_Player_1: ACDGINO F6 CA. +31 224
>Quackle: AEGIILQ 3F QI. +13 166
>New_Player_1: DGINOUZ N8 ZO +27 251
>Quackle: AEGILNT M3 GENITAL +89 255
>New_Player_1: ADGIMNU L1 MAUD +29 280
>Quackle: BEFIILN 14J FINE +41 296
>New_Player_1: GIINOTV K3 VOTING +31 311
>Quackle: BEIILNO 1J BE.OIL +30 326
>New_Player_1: ?AEIOTT 14A ETIOlAT. +70 381
>Quackle: INRRRRY 2H .RY +29 355
>New_Player_1: GHORRTY 15L ORGY +40 421
>Quackle: AIJNRRR 12J R..... +17 372
>New_Player_1: EHRTTUV 15A TETH +52 473
>Quackle: AIJNRRS 13A JAR +39 411
>New_Player_1: ORUV 12E VRO. +10 483
>Quackle: INRS 10J RINS +15 426
>Quackle:  (U) +2 428
