#player1 Quackle Quackle
#player2 New_Player_1 New Player 1
>Quackle: AAAIUVY -AAAIUVY +0 0
>New_Player_1: ANOOQSU 8G QUA +24 24
>Quackle: ?CDEORS J6 REDOCkS +81 81
>New_Player_1: CMNNOOS F2 NONCOMS +79 103
>Quackle: EIKNOOR 12C ROOINEK. +76 157
>New_Player_1: ABDEFSV I7 F.B +31 134
>Quackle: ?AHITVY H11 H.AVY +42 199
>New_Player_1: ADENSVX G1 VEX +56 190
>Quackle: ?BIILTT 4D BI.T +26 225
>New_Player_1: ADEINSW 1G .AW +27 217
>Quackle: ?GILMRT 11D MIG +23 248
>New_Player_1: DEEINRS K2 DENIERS +90 307
>Quackle: ?LNRSTU 14H .uLTURNS +72 320
>New_Player_1: AAEELRU L2 EAU +15 322
>Quackle: AEILOPT M7 PETIOLA. +86 406
>New_Player_1: AEILNPR O7 PRALINE. +83 405
>Quackle: GGIJOOT N4 GOJI +27 433
>New_Player_1: ADEIUWZ I1 .UZ +35 440
>Quackle: AEGLOTY 13H .Y +30 463
>New_Player_1: ADDEITW O1 WADI +31 471
>Quackle: AEGHLOT N1 OH +25 488
>New_Player_1: DEFIRTT F11 ..FT +9 480
>Quackle: AEEEGLT 5B ETA +7 495
>New_Player_1: ADEIRT B1 TIER.D +18 498
>Quackle: EEGL 13A GLEE +19 514
>Quackle:  (A) +2 516
