#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: CFJOQSV -FJOQV +0 0
>Quackle: AADLRSU 8C RADULAS +68 68
>New_Player_1: CEKNSWY C7 W.YNECKS +122 122
>Quackle: ?AJOUVX E5 VAu.OUX +68 136
>New_Player_1: DGLNPUY F10 PUDGY +41 163
>Quackle: AJNORTU 12A JU.O +42 178
>New_Player_1: IILNNRT A12 .INN +33 196
>Quackle: AADNRTT B9 NAT.RA +37 215
>New_Player_1: EHILNRT 6D L.H +14 210
>Quackle: DFGIOPT A8 FOP +35 250
>New_Player_1: AEINRTT H8 .TTAINER +77 287
>Quackle: ADEGIIT 13E A.I.G +13 263
>New_Player_1: AGIOOTV B5 OVA +15 302
>Quackle: BDEILOT 15G T.ILOBED +64 327
>New_Player_1: EGIOORT 5E .ERTIGO +27 329
>Quackle: EFIMRTZ A1 FRITZ +65 392
>New_Player_1: DEEELMO H1 DEMO.E +30 359
>Quackle: EEEMNOW 14K WOMEN +39 431
>New_Player_1: BEEEILQ 13L BEL +31 390
>Quackle: ?EEHIRS 1H .RISHEEn +95 526
>New_Player_1: ACEEIQS C3 QIS +36 426
>Quackle: I 3C .I +11 537
>Quackle:  (ACEE) +12 549
