#player1 Quackle Quackle
#player2 New_Player_1 New Player 1
>Quackle: BEGHRVV -BGVV +0 0
>New_Player_1: DDEFLLO 8D FOLDED +30 30
>Quackle: EEEHIKR 7C HIKE +32 32
>New_Player_1: ILOPTUY 6F POUTY +35 65
>Quackle: AEEEMOR 9E REAME +34 66
>New_Player_1: AEEGGIL 10G LEGGIE +26 91
>Quackle: AEIOSVX 11K OX +31 97
>New_Player_1: AADDIUZ G2 AZID. +35 126
>Quackle: AEGISSV 11B VISAGES +83 180
>New_Player_1: AADEIUU 5J ADIEU +17 143
>Quackle: ?BNOSTW N1 BOWh.NTS +76 256
>New_Player_1: ACEFINU 8L FU.E +33 176
>Quackle: AEILNNW H1 WEAN +40 296
>New_Player_1: ACINNOR L10 ..ONIC +36 212
>Quackle: HIJLNNT L1 JINN. +40 336
>New_Player_1: AAEENRT O1 AREA +36 248
>Quackle: AHILOTY 13H THIO.YL +42 378
>New_Player_1: ENOPRTV M7 E.TROP. +43 291
>Quackle: AQRRRSU O13 SUQ +50 428
>New_Player_1: AILMNOV 15H VOMI.A +39 330
>Quackle: ABCRRRT C9 BR.AR +26 454
>New_Player_1: ?LNT F11 .LeNT +6 336
>New_Player_1:  (CRT) +10 346
