#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: BEIIIPR -BII +0 0
>Quackle: IOORTUW 8G OUTROW +26 26
>New_Player_1: AEEGIPR 9A PIERAGE +66 66
>Quackle: AEIILTX A7 EX.AT +42 68
>New_Player_1: ADMOOSV C3 VAMOOS.D +82 148
>Quackle: AIILLTY L8 .ILILY +24 92
>New_Player_1: AGGINRS 12A SIRGANG +86 234
>Quackle: AAILORT M11 TAO +20 112
>New_Player_1: BDIJLNO B4 JOB +35 269
>Quackle: ACEILOR 11G AEROL..IC +75 187
>New_Player_1: DDEEILN 4B ..DE +24 293
>Quackle: AHINQRW O8 WIN.H +51 238
>New_Player_1: ?DEILNV 5E DEVLINg +96 389
>Quackle: AAEFIQR 3E FAQIR +46 284
>New_Player_1: ?AENTUU N10 A.TU +21 410
>Quackle: ADEHRTY 10H YAH +37 321
>New_Player_1: ?EENNSU M2 UNsEENS +76 486
>Quackle: BDEFRTZ H1 TR.F.E +39 360
>New_Player_1: EEIKNPS 4H .E +8 494
>Quackle: BCDOTUZ E11 C.Z +28 388
>New_Player_1: EIKMNPS 2K SP.NK +22 516
>Quackle: BDEOTU F2 B.D. +24 412
>New_Player_1: EIM D7 MI.E +17 533
>New_Player_1:  (EOTU) +8 541
