#player1 Quackle Quackle
#player2 New_Player_1 New Player 1
>Quackle: FHRSTTV -FTV +0 0
>New_Player_1: ACEGOOS 8G GOO +8 8
>Quackle: EHORSTT 9I HOTTERS +75 75
>New_Player_1: ACEILSW O4 WALIE. +39 47
>Quackle: DEJLQTU M7 JE.D +28 103
>New_Player_1: CEENRSU K2 UNSECRE. +70 117
>Quackle: BELNQTU 4H QUE.T +48 151
>New_Player_1: ADGIMOY 10E DIGAMY +44 161
>Quackle: ABILNRY L7 AR.ILY +37 188
>New_Player_1: AEINOOU 5E EUOI +19 180
>Quackle: ABEIINV 4A BIVIA +28 216
>New_Player_1: AAENNOT 11E ANOA +21 201
>Quackle: ?DEENOT A4 .OnNETED +80 296
>New_Player_1: DENRSTU 2H UNR.STED +70 271
>Quackle: GIPRRTW 1E TWIG +33 329
>New_Player_1: ?CIOOSZ 9C ZOO +36 307
>Quackle: AHIMPRR B10 HARIM +40 369
>New_Player_1: ?ACEISV 13A V.CIAtES +78 385
>Quackle: FKNNPPR D12 K.PP +30 399
>New_Player_1: ABEFLLX A13 .EX +43 428
>Quackle: FNNR N1 N.F +6 405
>New_Player_1: ABFLL 7E FLAB +18 446
>Quackle: NR G10 ..N.R +6 411
>Quackle:  (L) +2 413
