#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: AACEENQ -AEQ +0 0
>Quackle: HIINRTW 8D WITHIN +32 32
>New_Player_1: ACDENOT E5 ACT.ONED +94 94
>Quackle: AEFIMPR 12A FIRE.AMP +96 128
>New_Player_1: CEILRST J2 RELICTS +79 173
>Quackle: AAEGOOQ 7C QA. +37 165
>New_Player_1: BEELLNT H3 BELTL.NE +61 234
>Quackle: AEGIMOO C9 MOO.AGE +32 197
>New_Player_1: EEGHLOT F2 GOETH +36 270
>Quackle: ?AADIPT 15A AP.D +27 224
>New_Player_1: BELNOSU 10G N.BULOSE +63 333
>Quackle: ?AEGIRT 13G AIGRETs +86 310
>New_Player_1: AASUVWY I1 WAY +35 368
>Quackle: EINOORY 14A YO.I +32 342
>New_Player_1: ADESUVV 4J .UVVED +30 398
>Quackle: ?EFINOR 1G FE. +27 369
>New_Player_1: AAKRSUX 11K AX +31 429
>Quackle: ?IINNOR 9L NORI +22 391
>New_Player_1: AKRSUUZ M2 KU.ASZ +84 513
>Quackle: ?DIINOS N1 DON. +24 415
>New_Player_1: EJRRU O1 ER +22 535
>Quackle: ?IIS D2 IbIS +9 424
>Quackle:  (JRU) +20 444
