#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: CNPRRST -CNPR +0 0
>Quackle: EIINOUX 8D NIXIE +26 26
>New_Player_1: ?FHORST I2 FOuRTHS +81 81
>Quackle: ACORRTU H8 .UROCRAT +89 115
>New_Player_1: AEEILOT 13F AE.OLITE +74 155
>Quackle: AALMNSS 12H .LASSMAN +90 205
>New_Player_1: EGINORU 6F ROU.EING +63 218
>Quackle: ?EFRSUW H1 FEW +37 242
>New_Player_1: ACDEMTZ 7C ZEDA +49 267
>Quackle: ?ALPRSU O8 LUPa.ARS +131 373
>New_Player_1: CEIIMOT L4 TO.EMIC +28 295
>Quackle: BBEGIRV K5 B.B +26 399
>New_Player_1: AADIKLT M6 .LAD +30 325
>Quackle: EGIOQRV M3 QI +24 423
>New_Player_1: AEIIKTT N2 TIKI +34 359
>Quackle: EGGORVY 14B GROVY +41 464
>New_Player_1: ADEJNPT O1 JANE +59 418
>Quackle: ADEGNNO 15A DOEN +26 490
>New_Player_1: DHIOPTW 12C WHOP +32 450
>Quackle: AEEEGNV 10F VE.GEN.E +31 521
>New_Player_1: DITUY C4 YUT. +16 466
>Quackle: A C12 .A.. +14 535
>Quackle:  (DI) +6 541
