#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: DDLNSVW -DDLVW +0 0
>Quackle: CIINNOR 8H IONIC +20 20
>New_Player_1: ?AAENST K5 rES.NATA +78 78
>Quackle: AGIINRW 7B WAIRING +67 87
>New_Player_1: ABCDEEP 8A BEAD +39 117
>Quackle: DGINQRY 6F QI +64 151
>New_Player_1: ?CEEPTT 12G PECT.TEs +74 191
>Quackle: DDGNRTY M9 YDR.D +36 187
>New_Player_1: AEHHIKO J10 KI.HE +41 232
>Quackle: AGNOOTY J4 TOYO. +32 219
>New_Player_1: AEHOTVW 9B THEOW +43 275
>Quackle: AGLMNOV H11 V.NOM +30 249
>New_Player_1: AFLORVX L3 FLAX +43 318
>Quackle: AEGGLNS N3 SNAGGLE +66 315
>New_Player_1: FLOPRTV D3 PROV... +26 344
>Quackle: EEEIMUZ M1 EMEU +27 342
>New_Player_1: DEFJLTU 1K FJ.LD +72 416
>Quackle: AEEIINZ G12 .IZE +36 378
>New_Player_1: ELRTUUU C1 ULU +14 430
>Quackle: AAEINRS F13 AA +19 397
>New_Player_1: ABEORTU 15G ..U +5 435
>Quackle: EIINRRS D3 .......R +14 411
>New_Player_1: ABEORST 2E SORBATE +66 501
>New_Player_1:  (EIINORS) +14 515
