#player1 New_Player_1 New Player 1
#player2 Quackle Quackle
>New_Player_1: IIOOPTU -IIOOPTU +0 0
>Quackle: GHKLOOT 8G KOHL +22 22
>New_Player_1: ?AAFLMN 9B FLAgMAN +73 73
>Quackle: AGIORTU 10D GOUT +24 46
>New_Player_1: AEEIIRR B9 .AIRIER +22 95
>Quackle: AEEHIIR A11 HEARE +45 91
>New_Player_1: DEFIISY 11E EDIFY +42 137
>Quackle: DEGIINS K2 DINGIES +80 171
>New_Player_1: CISTUXZ 9K TUX +36 173
>Quackle: ?IMNPRV 10L MIRV +23 194
>New_Player_1: ACINOSZ L1 ZONA +55 228
>Quackle: ?ENPRSU O7 PaR.ENUS +89 283
>New_Player_1: CEGIJST 3G JEST..G +66 294
>Quackle: AOORTUW 4C OUTWAR +32 315
>New_Player_1: ACDILQS 6J Q. +31 325
>Quackle: DEINOTY 5D TOEY +38 353
>New_Player_1: ACCDILS C11 CADI +36 361
>Quackle: BDEEINN 1L .INE +39 392
>New_Player_1: ABCLLOS H11 .OCAL +33 394
>Quackle: ABDENOP 6E OB +27 419
>New_Player_1: BILOSTV 14L OBV. +18 412
>Quackle: ADEENPW 3A PAWN +31 450
>New_Player_1: EILST 7B TEILS +20 432
>New_Player_1:  (DEE) +8 440
