#player1 Quackle Quackle
#player2 New_Player_1 New Player 1
>Quackle: AEGNRTV -V +0 0
>New_Player_1: ACEEIOO 8D COOEE +20 20
>Quackle: AEGINRT H8 .NARGITE +83 83
>New_Player_1: AAEIOTW 11B AWAITE. +20 40
>Quackle: HIMRSTU 14B MISTRU.H +78 161
>New_Player_1: AJLOOSU 10B JO +39 79
>Quackle: EEEELOR D7 O.RE.E +26 187
>New_Player_1: ALORSUU A5 AUROUS +29 108
>Quackle: AEEILNY C3 LINEY +45 232
>New_Player_1: DELOOQW D1 WOOD +32 140
>Quackle: ADENRUZ 12H .AZUNDER +90 322
>New_Player_1: EEIILQX 15A QI +37 177
>Quackle: AABILPV O11 B.AVI +30 352
>New_Player_1: EEEFILX 13G X. +50 227
>Quackle: ADFLPTV K8 VATF.L +24 376
>New_Player_1: EEEFILN J9 FEE.E +35 262
>Quackle: BCDGNOP 9C P.OB +34 410
>New_Player_1: ?IIKLNT B4 TIK +31 293
>Quackle: CDDGNST C13 G.N +20 430
>New_Player_1: ??IILLN 1D .INdmILL +77 370
>Quackle: ACDDHST 14B ........S +34 464
>New_Player_1: EMNPRSY 7F MY +27 397
>Quackle: ACDDGHT 14L CHA. +24 488
>New_Player_1: AENPRS 12A ER +13 410
>Quackle: DDGT 8D .....D +9 497
>New_Player_1: ANPS L1 SNAP +25 435
>New_Player_1:  (DGT) +10 445
